CO_CURSO,primeira_geracaon_valido,primeira_geracaon_positivo,primeira_geracao_pct,mae_superiorn_valido,mae_superiorn_positivo,mae_superior_pct,pai_superiorn_valido,pai_superiorn_positivo,pai_superior_pct,renda_ate_3smn_valido,renda_ate_3smn_positivo,renda_ate_3sm_pct,trabalhan_valido,trabalhan_positivo,trabalha_pct,trabalha_40hn_valido,trabalha_40hn_positivo,trabalha_40h_pct,acao_afirmativan_valido,acao_afirmativan_positivo,acao_afirmativa_pct,auxilio_permanencian_valido,auxilio_permanencian_positivo,auxilio_permanencia_pct,bolsa_academican_valido,bolsa_academican_positivo,bolsa_academica_pct,estudo_4h_ou_maisn_valido,estudo_4h_ou_maisn_positivo,estudo_4h_ou_mais_pct,pretende_magisterion_valido,pretende_magisterion_positivo,pretende_magisterio_pct
117196,2,0,0.0,2,1,0.5,2,0,0.0,2,1,0.5,2,2,1.0,2,2,1.0,2,1,0.5,2,0,0.0,2,0,0.0,2,1,0.5,2,2,1.0
118100,54,32,0.5925925925925926,58,4,0.06896551724137931,53,7,0.1320754716981132,58,52,0.896551724137931,58,40,0.6896551724137931,58,24,0.41379310344827586,58,36,0.6206896551724138,58,37,0.6379310344827587,48,25,0.5208333333333334,58,32,0.5517241379310345,58,56,0.9655172413793104
118564,4,3,0.75,4,0,0.0,4,0,0.0,4,3,0.75,4,3,0.75,4,1,0.25,4,0,0.0,4,3,0.75,2,2,1.0,4,2,0.5,4,3,0.75
120389,10,3,0.3,11,4,0.36363636363636365,10,0,0.0,11,9,0.8181818181818182,11,5,0.45454545454545453,11,1,0.09090909090909091,11,3,0.2727272727272727,11,6,0.5454545454545454,9,4,0.4444444444444444,11,7,0.6363636363636364,11,11,1.0
120767,2,0,0.0,2,1,0.5,2,0,0.0,2,1,0.5,2,2,1.0,2,1,0.5,2,0,0.0,2,0,0.0,2,0,0.0,2,0,0.0,2,2,1.0
121013,22,10,0.45454545454545453,22,4,0.18181818181818182,20,1,0.05,23,15,0.6521739130434783,23,20,0.8695652173913043,23,12,0.5217391304347826,23,9,0.391304347826087,23,11,0.4782608695652174,15,10,0.6666666666666666,23,12,0.5217391304347826,23,19,0.8260869565217391
121792,5,2,0.4,6,1,0.16666666666666666,6,0,0.0,6,5,0.8333333333333334,6,4,0.6666666666666666,6,3,0.5,6,4,0.6666666666666666,6,3,0.5,6,1,0.16666666666666666,6,2,0.3333333333333333,6,3,0.5
122122,27,4,0.14814814814814814,27,12,0.4444444444444444,24,10,0.4166666666666667,28,13,0.4642857142857143,28,22,0.7857142857142857,28,7,0.25,28,12,0.42857142857142855,28,10,0.35714285714285715,22,11,0.5,28,16,0.5714285714285714,28,19,0.6785714285714286
122358,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
122746,17,7,0.4117647058823529,17,4,0.23529411764705882,16,1,0.0625,18,15,0.8333333333333334,18,12,0.6666666666666666,18,6,0.3333333333333333,18,10,0.5555555555555556,18,9,0.5,8,6,0.75,18,15,0.8333333333333334,18,13,0.7222222222222222
123356,13,6,0.46153846153846156,12,3,0.25,11,0,0.0,13,11,0.8461538461538461,13,11,0.8461538461538461,13,7,0.5384615384615384,13,3,0.23076923076923078,13,0,0.0,12,1,0.08333333333333333,13,5,0.38461538461538464,13,11,0.8461538461538461
123472,52,15,0.28846153846153844,55,10,0.18181818181818182,47,7,0.14893617021276595,56,24,0.42857142857142855,56,53,0.9464285714285714,56,40,0.7142857142857143,56,14,0.25,56,2,0.03571428571428571,55,6,0.10909090909090909,56,33,0.5892857142857143,56,49,0.875
123494,2,0,0.0,2,1,0.5,2,1,0.5,2,1,0.5,2,2,1.0,2,2,1.0,2,1,0.5,2,1,0.5,2,2,1.0,2,2,1.0,2,2,1.0
123519,13,8,0.6153846153846154,13,1,0.07692307692307693,12,1,0.08333333333333333,13,11,0.8461538461538461,13,10,0.7692307692307693,13,4,0.3076923076923077,13,4,0.3076923076923077,13,8,0.6153846153846154,2,2,1.0,13,6,0.46153846153846156,13,11,0.8461538461538461
