CO_CURSO,ITEM,n_total,n_valido,media,mediana,dp,concordancia_n,nao_sabe_n,nao_aplica_n,concordancia_pct,ausencia_analitica_pct
113490,QE_I64,51,46,5.6521739130434785,6.0,0.7060812450686402,45,1,0,0.9782608695652174,0.0980392156862745
113589,QE_I64,7,7,5.714285714285714,6.0,0.48795003647426677,7,0,0,1.0,0.0
113907,QE_I64,81,66,5.4393939393939394,6.0,0.8251580338854985,63,0,0,0.9545454545454546,0.18518518518518523
113953,QE_I64,30,30,5.366666666666666,6.0,0.927857499958849,28,0,0,0.9333333333333333,0.0
114388,QE_I64,5,2,6.0,6.0,0.0,2,1,0,1.0,0.6
114556,QE_I64,13,13,5.384615384615385,6.0,0.869718492622904,12,0,0,0.9230769230769231,0.0
114853,QE_I64,135,86,5.232558139534884,6.0,1.047960693073498,80,4,1,0.9302325581395349,0.36296296296296293
115086,QE_I64,11,9,5.555555555555555,6.0,0.7264831572567789,9,0,0,1.0,0.18181818181818177
116144,QE_I64,13,13,5.461538461538462,6.0,0.9674179220468453,12,0,0,0.9230769230769231,0.0
116730,QE_I64,5,5,5.2,5.0,0.8366600265340755,5,0,0,1.0,0.0
116820,QE_I64,3,3,5.666666666666667,6.0,0.5773502691896257,3,0,0,1.0,0.0
116856,QE_I64,11,10,5.1,5.0,0.7378647873726218,10,0,0,1.0,0.09090909090909094
116882,QE_I64,16,16,4.9375,5.0,1.2365947867699698,15,0,0,0.9375,0.0
117196,QE_I64,2,2,6.0,6.0,0.0,2,0,0,1.0,0.0
118100,QE_I64,58,58,5.620689655172414,6.0,0.7684019919902706,57,0,0,0.9827586206896551,0.0
118564,QE_I64,4,4,5.0,5.0,1.1547005383792515,4,0,0,1.0,0.0
120389,QE_I64,13,11,5.181818181818182,5.0,0.981649817214043,10,0,0,0.9090909090909091,0.15384615384615385
120767,QE_I64,2,2,4.5,4.5,0.7071067811865476,2,0,0,1.0,0.0
121013,QE_I64,26,23,5.260869565217392,6.0,1.009833078211346,22,0,0,0.9565217391304348,0.11538461538461542
121792,QE_I64,6,6,5.5,5.5,0.5477225575051662,6,0,0,1.0,0.0
122122,QE_I64,29,28,5.321428571428571,6.0,0.9833266074561479,27,0,0,0.9642857142857143,0.03448275862068961
