CO_CURSO,registros_microdados,presentes_validos,ausentes,eliminados,resultado_desconsiderado,reaplicacoes,discursiva_valida,discursiva_zero,taxa_presenca_microdados,nt_ger_count,nt_ger_mean,nt_ger_median,nt_ger_std,nt_ger_min,nt_ger_max,nt_ger_p10,nt_ger_p25,nt_ger_p75,nt_ger_p90,nt_ger_iqr,nt_ger_erro_padrao,nt_ger_ic95_inf,nt_ger_ic95_sup,nt_obj_count,nt_obj_mean,nt_obj_median,nt_obj_std,nt_obj_min,nt_obj_max,nt_obj_p10,nt_obj_p25,nt_obj_p75,nt_obj_p90,nt_obj_iqr,nt_obj_erro_padrao,nt_obj_ic95_inf,nt_obj_ic95_sup,nt_dis_count,nt_dis_mean,nt_dis_median,nt_dis_std,nt_dis_min,nt_dis_max,nt_dis_p10,nt_dis_p25,nt_dis_p75,nt_dis_p90,nt_dis_iqr,nt_dis_erro_padrao,nt_dis_ic95_inf,nt_dis_ic95_sup,proficiencia_count,proficiencia_mean,proficiencia_median,proficiencia_std,proficiencia_min,proficiencia_max,proficiencia_p10,proficiencia_p25,proficiencia_p75,proficiencia_p90,proficiencia_iqr,proficiencia_erro_padrao,proficiencia_ic95_inf,proficiencia_ic95_sup,qt_acertos_count,qt_acertos_mean,qt_acertos_median,qt_acertos_std,qt_acertos_min,qt_acertos_max,qt_acertos_p10,qt_acertos_p25,qt_acertos_p75,qt_acertos_p90,qt_acertos_iqr,qt_acertos_erro_padrao,qt_acertos_ic95_inf,qt_acertos_ic95_sup
45102,7,5,2,0,0,0,5,0,0.7142857142857143,5,33.672,35.1,23.6308383262211,0.0,61.8,9.408,23.52,47.94,56.256,24.419999999999998,10.568032172547545,12.958656941806808,54.385343058193186,5,32.339999999999996,32.0,20.961106841004366,0.0,56.0,11.76,29.4,44.3,51.32,14.899999999999999,9.374091956024326,13.966779766192317,50.713220233807675,5,3.9,4.75,3.802137556690973,0.0,8.5,0.0,0.0,6.25,7.6,6.25,1.700367607313195,0.5672794896661375,7.232720510333863,5,-0.71619,-0.65781,1.0856669080569787,-2.46117,0.41925,-1.787174,-0.77618,-0.10504,0.20953400000000008,0.67114,0.4855250014674837,-1.6678190028762678,0.23543900287626796,5,24.0,23.0,16.0312195418814,0,43,8.4,21.0,33.0,39.0,12.0,7.1693793315739685,9.948016510115021,38.051983489884975
45701,7,6,1,0,0,0,6,0,0.8571428571428571,6,59.29,60.2,6.2183052353515125,47.68,66.4,53.57,59.63,61.415,64.1,1.7849999999999966,2.5386124819147446,54.3143195354471,64.2656804645529,6,55.050000000000004,56.6,8.553537279979551,39.6,65.5,46.650000000000006,54.275000000000006,58.025,61.9,3.749999999999993,3.491966971970573,48.20574473493768,61.89425526506233,6,7.625,7.625,0.7202430145443967,6.75,8.5,6.875,7.0625,8.1875,8.375,1.125,0.2940379794062892,7.0486855603636736,8.201314439636327,6,0.37607000000000007,0.4455,0.3854575660692108,-0.32016,0.84655,-0.0027699999999999947,0.3407775,0.5112450000000001,0.6854800000000001,0.17046750000000005,0.15736239239411684,0.06763971090753107,0.6845002890924691,6,42.166666666666664,43.5,7.277820186475251,29,51,35.0,41.5,44.75,48.0,3.25,2.9711576494319143,36.34319767378011,47.99013565955322
45703,7,7,0,0,0,0,7,0,1.0,7,52.339999999999996,53.36,10.970603143552925,36.1,71.86,40.924,48.25,54.28,61.84,6.030000000000001,4.1464982357463525,44.21286345793715,60.467136542062846,7,46.58571428571429,46.7,13.129156938081053,32.0,71.7,32.78,39.4,48.45,58.80000000000001,9.050000000000004,4.962354883157245,36.85949871472609,56.31192985670249,7,7.535714285714286,7.5,1.14953406710222,5.25,8.75,6.45,7.375,8.25,8.6,0.875,0.4344830378784442,6.684127531472535,8.387301039956036,7,-0.0031242857142856906,0.00069,0.5907293191995,-0.65781,1.12854,-0.6230519999999999,-0.32597,0.07932499999999999,0.5461920000000005,0.40529499999999996,0.22327469582233858,-0.4407426895260693,0.43449411809749794,7,35.0,35.0,10.923979738782625,23,56,23.6,29.0,36.5,45.2,7.5,4.12887624513245,26.907402559540397,43.0925974404596
46729,13,9,4,0,0,0,9,0,0.6923076923076923,9,55.60666666666667,57.96,12.339829820544526,38.06,77.68,42.556,44.18,62.14,66.016,17.96,4.113276606848175,47.544644517244244,63.668688816089094,9,50.96666666666667,53.7,13.966835718945077,30.7,77.1,35.82,39.6,58.3,63.02,18.699999999999996,4.655611906315026,41.84166733028922,60.09166600304412,9,7.416666666666667,7.5,0.9185586535436919,6.25,9.25,6.45,6.75,7.75,8.25,1.0,0.3061862178478973,6.816541679684788,8.016791653648546,9,0.19312666666666667,0.31462,0.6280666393584363,-0.71655,1.36854,-0.48755000000000004,-0.32016,0.52441,0.7355480000000002,0.84457,0.2093555464528121,-0.21721020438084504,0.6034635377141784,9,38.666666666666664,41.0,11.565033506220376,22,60,26.0,29.0,45.0,48.800000000000004,16.0,3.855011168740125,31.11084477593602,46.22248855739731
47333,6,6,0,0,0,0,6,0,1.0,6,48.86666666666667,49.730000000000004,3.8871000330151846,42.94,53.04,44.42,46.515,51.67,52.45,5.155000000000001,1.5869019433404747,45.756338857719335,51.976994475614,6,46.083333333333336,46.1,3.103814857021384,42.0,51.3,43.15,44.599999999999994,46.7,49.0,2.1000000000000085,1.2671271092953196,43.59976419911451,48.56690246755216,6,6.0,5.75,1.7888543819998317,3.75,8.75,4.25,4.9375,6.9375,8.0,2.0,0.7302967433402215,4.568618383053166,7.431381616946834,6,-0.026231666666666667,-0.025685,0.1404912326683294,-0.21187,0.2102,-0.158455,-0.091795,0.00069,0.105445,0.092485,0.05735530556200631,-0.13864806556819903,0.0861847322348657,6,34.5,34.5,2.6645825188948455,31,39,32.0,33.25,35.0,37.0,1.75,1.0878112581387147,32.36788993404812,36.63211006595188
48289,34,31,2,0,0,0,30,1,0.9117647058823529,31,49.45548387096774,50.36,10.161452271110884,30.64,73.86,36.68,43.1,54.03,63.1,10.93,1.8250507041835282,45.87838449076803,53.03258325116745,31,44.803225806451614,44.3,9.992279815636593,23.9,71.7,34.6,38.3,49.0,56.0,10.700000000000003,1.794666434223457,41.28567959537364,48.32077201752959,31,6.806451612903226,7.25,2.1396160845458496,0.0,9.75,4.5,6.125,8.25,9.0,2.125,0.3842863930862029,6.053250282454268,7.559652943352184,31,-0.08376096774193548,-0.10504,0.44975773830922827,-1.02514,1.12854,-0.54269,-0.37497,0.10566,0.41925,0.48063,0.08077887442790814,-0.24208756162063544,0.07456562613676448,31,33.516129032258064,33.0,8.330149929590847,17,56,25.0,28.0,37.0,43.0,9.0,1.496139094032482,30.5836964079544,36.44856165656173
48946,11,11,0,0,0,0,10,1,1.0,11,53.29818181818182,57.46,14.043718751229546,29.24,70.9,29.42,47.15,63.49,67.02,16.340000000000003,4.234340523555172,44.998874392013676,61.59748924434996,11,51.50909090909091,53.7,17.041153396730778,22.4,79.9,25.3,44.900000000000006,61.3,65.5,16.39999999999999,5.13810107380422,41.438412804434634,61.57976901374718,11,6.045454545454546,6.0,2.5441555126853532,0.0,9.25,4.5,5.0,7.5,8.75,2.5,0.7670917494446904,4.541954716542953,7.548954374366139,11,0.2174518181818182,0.31462,0.7661710461354981,-1.09046,1.49514,-0.96115,-0.078805,0.657165,0.84655,0.73597,0.2310092622968658,-0.23532633592003876,0.6702299722836751,11,39.27272727272727,41.0,13.835395976197495,16,62,18.0,33.5,47.5,51.0,14.0,4.171528843549087,31.09653073937106,47.448923806083485
49324,83,27,55,0,0,0,26,1,0.3253012048192771,27,56.096296296296295,58.54,11.579562947826572,34.14,79.92,41.204,47.09,63.7,68.34800000000001,16.61,2.2284879283419627,51.72845995674605,60.46413263584654,27,55.074074074074076,53.7,11.788344719470636,37.1,79.9,40.519999999999996,46.1,63.1,72.78000000000002,17.0,2.268667999028825,50.62748479597758,59.52066335217057,27,6.018518518518518,7.0,2.9652846584119223,0.0,9.75,1.0500000000000003,3.75,8.0,8.75,4.25,0.5706692985859969,4.900006693289964,7.137030343747072,27,0.37800888888888884,0.31462,0.5301070989855463,-0.4303,1.49514,-0.27710999999999997,-0.025685,0.7377,1.1757600000000004,0.763385,0.10201915876621225,0.17805133770711284,0.5779664400706648,27,42.074074074074076,41.0,9.809437864886618,27,62,29.8,34.5,49.0,56.800000000000004,14.5,1.8878271972970655,38.37393276737183,45.774215380776326
50439,3,3,0,0,0,0,3,0,1.0,3,61.73333333333334,65.4,12.897028081435403,47.4,72.4,51.0,56.400000000000006,68.9,71.0,12.5,7.446102634562893,47.138972169590076,76.3276944970766,3,58.833333333333336,65.5,11.547005383792515,45.5,65.5,49.5,55.5,65.5,65.5,10.0,6.666666666666667,45.766666666666666,71.9,3,7.333333333333333,6.5,2.3629078131263044,5.5,10.0,5.7,6.0,8.25,9.3,2.25,1.364225461978742,4.659451427854998,10.007215238811668,3,0.5470133333333334,0.84655,0.5188127253964896,-0.05206,0.84655,0.12766200000000003,0.397245,0.84655,0.84655,0.449305,0.2995366666666667,-0.04007853333333333,1.1341052,3,45.333333333333336,51.0,9.814954576223638,34,51,37.4,42.5,51.0,51.0,8.5,5.666666666666667,34.22666666666667,56.440000000000005
52068,2,1,1,0,0,0,1,0,0.5,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,
52139,6,4,2,0,0,0,4,0,0.6666666666666666,4,53.755,55.67,9.790667324889899,40.16,63.52,44.762,51.665,57.760000000000005,61.21600000000001,6.095000000000006,4.8953336624449495,44.1601460216079,63.349853978392105,4,54.85,53.65,5.061291007901704,50.2,61.9,50.89,51.925,56.574999999999996,59.769999999999996,4.649999999999999,2.530645503950852,49.88993481225633,59.810065187743675,4,4.9375,6.375,3.3189795118379384,0.0,7.0,1.8000000000000003,4.5,6.8125,6.925,2.3125,1.6594897559189692,1.6849000783988206,8.19009992160118,4,0.36778500000000003,0.314645,0.22734386649596097,0.15796,0.68389,0.18929200000000002,0.23629,0.44614,0.58879,0.20984999999999998,0.11367193324798049,0.1449880108339583,0.5905819891660418,4,42.0,41.0,4.320493798938574,38,48,38.6,39.5,43.5,46.2,4.0,2.160246899469287,37.765916077040195,46.234083922959805
52442,40,35,4,1,0,0,30,6,0.875,35,52.31028571428571,54.0,11.948193436103823,21.36,73.9,36.456,46.2,58.9,66.62,12.699999999999996,2.0196133037684962,48.35184363889946,56.26872778967196,35,51.26285714285714,51.3,11.084304900445966,26.7,71.7,34.6,44.9,57.75,64.78,12.850000000000001,1.8735894894640108,47.59062174350768,54.935092542206604,35,5.65,7.25,3.3525670585915117,0.0,9.75,0.0,3.625,8.0,8.75,4.375,0.5666872627662568,4.539292964978137,6.760707035021864,35,0.20652685714285718,0.2102,0.4984438800894796,-0.89839,1.12854,-0.54269,-0.07855,0.49808,0.8145820000000004,0.57663,0.08425239320020284,0.041392166470459624,0.37166154781525473,35,38.97142857142857,39.0,9.2783293193324,19,56,25.0,33.5,44.5,50.400000000000006,11.0,1.5683239002012237,35.897513727034166,42.04534341582297
55811,18,14,4,0,0,0,9,5,0.7777777777777778,14,45.37428571428571,46.599999999999994,11.627372025517209,20.24,72.36,36.304,39.44,50.845,52.294,11.405000000000001,3.1075458877175106,39.283495774359395,51.46507565421203,14,47.16428571428571,46.7,10.1125669831656,25.3,71.7,38.9,44.3,50.2,54.260000000000005,5.900000000000006,2.702697210843417,41.86699918103261,52.46157224753881,14,3.8214285714285716,5.75,3.4964660337653397,0.0,8.0,0.0,0.0,6.625,7.5,6.625,0.9344698544887334,1.9898676566306541,5.652989486226489,14,0.022616428571428576,0.0005949999999999983,0.45510601724479277,-0.96115,1.12854,-0.3487,-0.10504,0.15796,0.34086300000000025,0.263,0.12163219937066054,-0.21578268219506608,0.2610155393379232,14,35.5,35.0,8.345887978750143,18,56,28.5,33.0,38.0,41.50000000000001,5.0,2.2305323860627366,31.12815652331704,39.87184347668296
58522,13,11,2,0,0,0,11,0,0.8461538461538461,11,52.127272727272725,51.2,9.918480822090743,36.56,67.9,42.14,44.510000000000005,58.08,64.98,13.569999999999993,2.9905344888373424,46.26582512915154,57.98872032539391,11,49.13636363636363,50.2,10.441577728224097,30.7,65.5,38.3,41.95,53.65,63.1,11.699999999999996,3.148254140350078,42.96578552127748,55.306941751449784,11,6.409090909090909,6.75,2.332575634552734,0.0,8.5,5.75,6.0,7.625,8.5,1.625,0.7032980159033251,5.030626797920392,7.7875550202614265,11,0.11116727272727274,0.15796,0.4691398325252485,-0.71655,0.84655,-0.37497,-0.2126,0.314645,0.7377,0.527245,0.14145098169967452,-0.16607665140408934,0.3884111968586348,11,37.18181818181818,38.0,8.77289213222392,22,51,28.0,31.0,41.0,49.0,10.0,2.6451265026225177,31.997370236678044,42.366266126958315
58526,9,7,1,1,0,0,7,1,0.7777777777777778,7,53.09428571428571,57.46,9.468640974541279,37.68,65.06,43.056,47.06,58.67,61.928000000000004,11.61,3.57880989605607,46.07981831801581,60.10875311055561,7,48.24285714285714,52.5,9.639477361845078,34.6,60.7,36.82,40.7,54.25,57.160000000000004,13.549999999999997,3.6433799811541507,41.101832379795006,55.383881905919274,7,7.25,7.75,1.1547005383792512,5.0,8.25,5.9,6.875,8.0,8.1,1.125,0.4364357804719846,6.39458587027491,8.105414129725089,7,0.07119857142857143,0.2624,0.4329340868010807,-0.54269,0.63044,-0.442058,-0.266635,0.34075500000000003,0.4723100000000001,0.6073900000000001,0.1636337039655015,-0.2495234883438115,0.3919206312009544,7,36.42857142857143,40.0,8.141603913585717,25,47,26.8,30.0,41.5,44.0,11.5,3.0772370326482874,30.397186844580787,42.459956012562074
