CO_CURSO,sexo_n_total,sexo_n_valido,sexo_feminino_n,sexo_masculino_n,sexo_indefinido_n,sexo_feminino_pct,sexo_masculino_pct,idade_n,idade_media,idade_mediana,idade_dp,idade_min,idade_max
15862,10,10,5,5,0,0.5,0.5,10,32.8,33.5,9.681597664297628,21,51
15865,6,6,3,3,0,0.5,0.5,6,35.333333333333336,24.5,20.146132796809084,21,71
15868,14,14,3,11,0,0.21428571428571427,0.7857142857142857,14,27.714285714285715,24.5,10.9785004680727,21,65
16009,39,39,18,21,0,0.46153846153846156,0.5384615384615384,39,32.666666666666664,29.0,9.630907847389684,22,55
16010,10,10,7,3,0,0.7,0.3,10,34.1,33.0,7.823753006780771,23,48
16268,32,32,19,13,0,0.59375,0.40625,32,30.71875,26.0,9.123646607544309,21,52
16272,9,9,3,6,0,0.3333333333333333,0.6666666666666666,9,29.666666666666668,27.0,8.261355820929152,23,45
16403,13,13,4,9,0,0.3076923076923077,0.6923076923076923,13,22.53846153846154,22.0,2.331501112137293,20,29
17154,19,19,9,10,0,0.47368421052631576,0.5263157894736842,19,28.736842105263158,28.0,5.694462273542193,21,45
17196,39,39,13,26,0,0.3333333333333333,0.6666666666666666,39,30.564102564102566,28.0,8.65355075219315,22,57
18354,1,1,0,1,0,0.0,1.0,1,24.0,24.0,,24,24
18382,9,9,6,3,0,0.6666666666666666,0.3333333333333333,9,26.444444444444443,23.0,6.728876412728784,22,42
18877,9,9,6,3,0,0.6666666666666666,0.3333333333333333,9,27.555555555555557,25.0,6.839428176227732,22,44
18892,16,16,8,8,0,0.5,0.5,16,26.25,26.0,3.714835124201343,22,38
18954,6,6,2,4,0,0.3333333333333333,0.6666666666666666,6,26.166666666666668,23.5,7.359800721939873,22,41
18959,6,6,4,2,0,0.6666666666666666,0.3333333333333333,6,24.166666666666668,24.5,2.9944392908634283,21,29
18961,22,22,9,13,0,0.4090909090909091,0.5909090909090909,22,33.54545454545455,28.5,11.754339716228312,20,61
19026,1,1,0,1,0,0.0,1.0,1,23.0,23.0,,23,23
19060,49,49,17,32,0,0.3469387755102041,0.6530612244897959,49,35.6530612244898,34.0,11.358827368336641,21,60
19077,21,21,9,12,0,0.42857142857142855,0.5714285714285714,21,30.238095238095237,26.0,8.324090111866651,23,55
19191,4,4,0,4,0,0.0,1.0,4,21.5,21.5,0.5773502691896263,21,22
19367,2,2,1,1,0,0.5,0.5,2,24.5,24.5,0.7071067811865476,24,25
19396,9,9,6,3,0,0.6666666666666666,0.3333333333333333,9,29.22222222222222,25.0,7.644896627453143,22,39
20315,11,11,8,3,0,0.7272727272727273,0.2727272727272727,11,29.454545454545453,28.0,8.835877278048132,21,46
20392,43,43,16,27,0,0.37209302325581395,0.627906976744186,43,28.41860465116279,24.0,9.774194786320265,20,60
20578,10,10,5,5,0,0.5,0.5,10,27.2,24.5,5.977736472389306,23,43
20854,18,18,11,7,0,0.6111111111111112,0.3888888888888889,18,28.055555555555557,28.0,5.274491580987546,21,43
21427,11,11,3,8,0,0.2727272727272727,0.7272727272727273,11,23.727272727272727,23.0,2.3276988246295565,21,29
21443,43,43,14,29,0,0.32558139534883723,0.6744186046511628,43,28.046511627906977,25.0,7.467241118544428,21,53
21578,6,6,1,5,0,0.16666666666666666,0.8333333333333334,6,27.166666666666668,25.5,5.269408568963566,21,35
21808,5,5,3,2,0,0.6,0.4,5,23.4,24.0,1.8165902124584956,21,25
21822,9,9,7,2,0,0.7777777777777778,0.2222222222222222,9,25.22222222222222,22.0,6.18016540591305,21,36
21869,10,10,5,5,0,0.5,0.5,10,22.8,22.0,1.6865480854231363,21,26
21876,10,10,4,6,0,0.4,0.6,10,26.5,26.5,4.62481230850387,21,34
21879,14,14,9,5,0,0.6428571428571429,0.35714285714285715,14,23.928571428571427,22.0,4.3228246768534575,21,36
21892,1,1,1,0,0,1.0,0.0,1,23.0,23.0,,23,23
27518,13,13,2,11,0,0.15384615384615385,0.8461538461538461,13,28.384615384615383,26.0,5.107812015897176,23,38
29447,16,16,9,7,0,0.5625,0.4375,16,26.5,22.5,8.516650358758032,21,52
38246,23,23,9,14,0,0.391304347826087,0.6086956521739131,23,27.17391304347826,24.0,6.421923911054036,21,40
38431,8,8,1,7,0,0.125,0.875,8,34.625,34.5,7.74481393302272,24,44
38678,15,15,7,8,0,0.4666666666666667,0.5333333333333333,15,28.333333333333332,26.0,5.936168397046637,22,42
39715,4,4,3,1,0,0.75,0.25,4,24.75,24.5,3.8622100754188233,21,29
41069,6,6,4,2,0,0.6666666666666666,0.3333333333333333,6,25.666666666666668,24.0,3.9832984656772426,22,32
41490,16,16,4,12,0,0.25,0.75,16,26.4375,25.0,6.120661728930949,21,46
43037,26,26,13,13,0,0.5,0.5,26,29.0,25.0,10.233279044372825,21,56
43084,9,9,4,5,0,0.4444444444444444,0.5555555555555556,9,23.0,22.0,2.828427124746192,21,30
44372,32,32,11,21,0,0.34375,0.65625,32,24.125,24.0,2.732716951219769,21,34
45102,7,7,5,2,0,0.7142857142857143,0.2857142857142857,7,23.0,22.0,1.4142135623730963,22,25
45701,7,7,2,5,0,0.2857142857142857,0.7142857142857143,7,29.0,26.0,8.32666399786453,21,44
45703,7,7,5,2,0,0.7142857142857143,0.2857142857142857,7,28.0,25.0,6.683312551921142,20,39
46729,13,13,8,5,0,0.6153846153846154,0.38461538461538464,13,24.23076923076923,24.0,3.419401657060442,21,31
47333,6,6,5,1,0,0.8333333333333334,0.16666666666666666,6,22.0,22.0,1.0954451150103321,21,23
48289,34,34,10,24,0,0.29411764705882354,0.7058823529411765,34,30.264705882352942,27.5,10.5695641478024,20,63
48946,11,11,9,2,0,0.8181818181818182,0.18181818181818182,11,29.0,25.0,7.362064927722385,22,43
49324,83,82,31,51,1,0.3780487804878049,0.6219512195121951,83,41.024096385542165,39.0,11.305055963243165,23,72
