CO_CURSO,TP_SEXO,n
1193885,M,1
1202856,F,18
1202856,M,41
1203136,F,25
1203136,M,11
1205924,F,10
1205924,M,14
1214485,F,2
1214485,M,5
1258370,M,4
1260434,F,5
1260434,M,6
1264321,F,1
1264321,M,5
1264336,F,5
1264336,M,2
1266766,F,26
1266766,M,37
1268237,M,3
1270326,F,1
1270326,M,2
1270371,F,5
1270371,M,7
1284904,F,5
1284904,M,1
1285866,F,198
1285866,M,324
1292570,F,403
1292570,M,398
1292767,F,5
1292767,M,6
1292902,F,11
1292902,M,4
1296649,F,55
1296649,M,77
1298841,F,4
1298841,M,10
1300008,F,26
1300008,M,43
1300375,F,11
1300375,M,24
1304557,F,11
1304557,M,7
1312211,F,4
1312211,M,4
1313067,F,14
1313067,M,17
1313355,F,7
1313355,M,4
1313360,F,8
1313360,M,3
1315060,F,798
1315060,M,590
1321332,F,9
1321332,M,11
1321334,F,3
1321334,M,1
1321678,F,1
1321678,M,4
1327336,F,6
1327336,M,6
1327524,F,14
1330050,F,54
1330050,M,78
1330203,M,1
1330366,F,2
1330369,F,2
1330369,M,1
1330372,F,5
1330384,F,9
1330384,M,8
1331356,F,8
1331356,M,6
1332695,F,5
1332695,M,13
1333201,F,7
1333201,M,10
1338287,M,3
1340989,F,7
1340989,M,9
1341230,F,3
1341230,M,9
1341347,F,8
1341347,M,5
1349112,F,4
1349112,M,10
1350689,F,2
1350689,M,5
1366967,F,7
1366967,M,10
1375344,F,23
1375344,M,9
1379285,F,40
1379285,M,61
1382647,F,6
1382647,M,4
1382815,F,2
1382815,M,2
1385337,F,1
1385337,M,1
1387235,F,6
1387235,M,4
1396228,F,13
1396228,M,5
1399848,F,7
1399848,M,6
1401623,F,234
1401623,M,291
1405215,F,13
1405215,M,17
1406007,F,2
1406007,M,1
1406064,M,1
1407205,M,1
1414995,F,3
1414995,M,6
1416142,F,6
1416142,M,4
1419680,F,8
1419680,M,7
1419827,F,5
1419827,M,5
1420449,F,4
1420637,F,10
1420637,M,10
1439555,F,14
1439555,M,21
1441230,F,8
1441230,M,5
1442119,F,5
1442119,M,19
1442126,F,2
1442126,M,2
1442906,F,8
1442906,M,14
1442928,F,4
1442928,M,2
1445889,F,2
1445889,M,1
