NU_ANO,CO_CURSO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO,NO_IES,SG_IES,AREA,MODALIDADE,MUNICIPIO,UF,INSCRITOS,PARTICIPANTES,TOTAL_PADRAO_PROFICIENCIA,PCT_PADRAO_PROFICIENCIA,CONCEITO_ENADE,SITUACAO_CONCEITO,ROTULO_OFERTA,CONCEITO_ENADE_NUM,INSCRITOS_NUM,PARTICIPANTES_NUM,PCT_PADRAO_PROFICIENCIA_NUM,GRUPO_CODIGO,GRUPO
2025,13276,578,1,10028,702,1,2927408,29,2,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,MATEMÁTICA ,Presencial,Salvador,BA,32,29,21,0.724,3,Conceito superior a 1,Salvador - Presencial,3,32,29,0.724,E,Restante do Brasil
2025,13402,579,1,10028,702,1,2507507,25,2,UNIVERSIDADE FEDERAL DA PARAÍBA,UFPB,MATEMÁTICA ,Presencial,João Pessoa,PB,66,52,35,0.673,3,Conceito superior a 1,João Pessoa - Presencial,3,66,52,0.673,E,Restante do Brasil
2025,13448,2564,1,10028,702,1,2504009,25,2,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,UFCG,MATEMÁTICA ,Presencial,Campina Grande,PB,17,13,9,0.692,3,Conceito superior a 1,Campina Grande - Presencial,3,17,13,0.692,E,Restante do Brasil
2025,13619,580,1,10028,702,1,2611606,26,2,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,MATEMÁTICA ,Presencial,Recife,PE,27,18,15,0.833,4,Conceito superior a 1,Recife - Presencial,4,27,18,0.833,E,Restante do Brasil
2025,13741,581,1,10028,702,1,4314902,43,4,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,MATEMÁTICA ,Presencial,Porto Alegre,RS,33,27,17,0.63,3,Conceito superior a 1,Porto Alegre - Presencial,3,33,27,0.63,E,Restante do Brasil
2025,13873,582,1,10028,702,1,4316907,43,4,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,MATEMÁTICA ,Presencial,Santa Maria,RS,13,12,10,0.833,4,Conceito superior a 1,Santa Maria - Presencial,4,13,12,0.833,E,Restante do Brasil
2025,14121,25274,1,10028,702,1,5205109,52,5,UNIVERSIDADE FEDERAL DE CATALÃO,UFCAT,MATEMÁTICA ,Presencial,Catalão,GO,13,12,6,0.5,2,Conceito superior a 1,Catalão - Presencial,2,13,12,0.5,E,Restante do Brasil
2025,14233,585,1,10028,702,1,4205407,42,4,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,MATEMÁTICA ,Presencial,Florianópolis,SC,34,28,23,0.821,4,Conceito superior a 1,Florianópolis - Presencial,4,34,28,0.821,E,Restante do Brasil
2025,14328,586,1,10028,702,1,3304557,33,3,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,MATEMÁTICA ,Presencial,Rio de Janeiro,RJ,94,80,64,0.8,4,Conceito superior a 1,Rio de Janeiro - Presencial,4,94,80,0.8,E,Restante do Brasil
2025,14505,587,1,10028,702,1,2611606,26,2,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,MATEMÁTICA ,Presencial,Recife,PE,53,35,29,0.829,4,Conceito superior a 1,Recife - Presencial,4,53,35,0.829,E,Restante do Brasil
2025,14542,588,1,10028,702,1,4118501,41,4,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,UTFPR,MATEMÁTICA ,Presencial,Pato Branco,PR,11,11,6,0.545,2,Conceito superior a 1,Pato Branco - Presencial,2,11,11,0.545,E,Restante do Brasil
2025,14700,609,2,10028,702,1,4104808,41,4,UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ,UNIOESTE,MATEMÁTICA ,Presencial,Cascavel,PR,17,15,13,0.867,4,Conceito superior a 1,Cascavel - Presencial,4,17,15,0.867,E,Restante do Brasil
2025,15000,634,1,10028,702,1,4304663,43,4,UNIVERSIDADE FEDERAL DE PELOTAS,UFPEL,MATEMÁTICA ,Presencial,Capão do Leão,RS,8,8,8,1,5,Conceito superior a 1,Capão do Leão - Presencial,5,8,8,1.0,E,Restante do Brasil
2025,15413,666,2,10028,702,1,2910800,29,2,UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA,UEFS,MATEMÁTICA ,Presencial,Feira de Santana,BA,48,39,33,0.846,4,Conceito superior a 1,Feira de Santana - Presencial,4,48,39,0.846,E,Restante do Brasil
2025,15629,674,7,10022,702,1,2601607,26,2,CENTRO DE ENSINO SUPERIOR DO VALE SÃO FRANCISCO,CESVASF,MATEMÁTICA ,Presencial,Belém do São Francisco,PE,7,7,2,0.286,1,Conceito 1,Belém do São Francisco - Presencial,1,7,7,0.286,E,Restante do Brasil
2025,15833,694,1,10028,702,1,5002704,50,5,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,MATEMÁTICA ,Presencial,Campo Grande,MS,15,15,9,0.6,3,Conceito superior a 1,Campo Grande - Presencial,3,15,15,0.6,E,Restante do Brasil
2025,15862,694,1,10028,702,1,5003207,50,5,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,MATEMÁTICA ,Presencial,Corumbá,MS,10,7,2,0.286,1,Conceito 1,Corumbá - Presencial,1,10,7,0.286,E,Restante do Brasil
2025,15865,694,1,10028,702,1,5008305,50,5,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,MATEMÁTICA ,Presencial,Três Lagoas,MS,6,4,3,0.75,4,Conceito superior a 1,Três Lagoas - Presencial,4,6,4,0.75,E,Restante do Brasil
2025,15868,4504,1,10028,702,1,5003702,50,5,FUNDAÇÃO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,UFGD,MATEMÁTICA ,Presencial,Dourados,MS,14,13,4,0.308,1,Conceito 1,Dourados - Presencial,1,14,13,0.308,E,Restante do Brasil
2025,16009,699,1,10028,702,1,1100205,11,1,FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA,UNIR,MATEMÁTICA ,Presencial,Porto Velho,RO,39,29,4,0.138,1,Conceito 1,Porto Velho - Presencial,1,39,29,0.138,D,Restante da Região Norte
2025,16010,699,1,10028,702,1,1100122,11,1,FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA,UNIR,MATEMÁTICA ,Presencial,Ji-Paraná,RO,10,8,2,0.25,1,Conceito 1,Ji-Paraná - Presencial,1,10,8,0.25,D,Restante da Região Norte
2025,16268,719,2,10028,702,1,5102504,51,5,Universidade do Estado de Mato Grosso Carlos Alberto Reyes Maldonado - UNEMAT,UNEMAT,MATEMÁTICA ,Presencial,Cáceres,MT,32,20,3,0.15,1,Conceito 1,Cáceres - Presencial,1,32,20,0.15,E,Restante do Brasil
2025,16272,719,2,10028,702,1,5107909,51,5,Universidade do Estado de Mato Grosso Carlos Alberto Reyes Maldonado - UNEMAT,UNEMAT,MATEMÁTICA ,Presencial,Sinop,MT,9,8,3,0.375,1,Conceito 1,Sinop - Presencial,1,9,8,0.375,E,Restante do Brasil
2025,16403,730,2,10028,702,1,4119905,41,4,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,UEPG,MATEMÁTICA ,Presencial,Ponta Grossa,PR,13,11,9,0.818,4,Conceito superior a 1,Ponta Grossa - Presencial,4,13,11,0.818,E,Restante do Brasil
2025,17154,3849,1,10028,702,1,1702406,17,1,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,UFT,MATEMÁTICA ,Presencial,Arraias,TO,19,8,4,0.5,2,Conceito superior a 1,Arraias - Presencial,2,19,8,0.5,D,Restante da Região Norte
