CO_CURSO,qe_i68_n,qe_i68_media,qe_i68_mediana,qe_i68_dp,qe_i68_nota_9_10_n,qe_i68_nota_0_6_n,qe_i68_nota_9_10_pct,qe_i68_nota_0_6_pct,qe_i69_n,qe_i69_media,qe_i69_mediana,qe_i69_dp,qe_i69_nota_9_10_n,qe_i69_nota_0_6_n,qe_i69_nota_9_10_pct,qe_i69_nota_0_6_pct,qe_i70_n,qe_i70_interesse_n,qe_i70_interesse_pct
18892,15,7.866666666666666,8.0,1.9223002094465098,6,4,0.4,0.26666666666666666,15,8.4,8.0,1.6388149028228558,7,1,0.4666666666666667,0.06666666666666667,15,15,1.0
18954,6,8.166666666666666,9.0,2.6394443859772205,4,1,0.6666666666666666,0.16666666666666666,6,8.166666666666666,9.0,2.7141603981096374,3,1,0.5,0.16666666666666666,6,6,1.0
18959,6,9.833333333333334,10.0,0.408248290463863,6,0,1.0,0.0,6,9.833333333333334,10.0,0.408248290463863,6,0,1.0,0.0,6,4,0.6666666666666666
18961,19,8.842105263157896,9.0,1.3442535266309146,12,1,0.631578947368421,0.05263157894736842,19,8.947368421052632,9.0,1.223550580642996,12,1,0.631578947368421,0.05263157894736842,19,17,0.8947368421052632
19026,0,,,,0,0,nan,nan,0,,,,0,0,nan,nan,0,0,
19060,47,9.27659574468085,10.0,1.2803214212535186,39,3,0.8297872340425532,0.06382978723404255,47,9.595744680851064,10.0,0.8251369970070336,41,0,0.8723404255319149,0.0,47,45,0.9574468085106383
19077,13,7.3076923076923075,8.0,2.839736354681991,4,4,0.3076923076923077,0.3076923076923077,13,8.692307692307692,9.0,1.4366984945013916,7,1,0.5384615384615384,0.07692307692307693,13,12,0.9230769230769231
19191,4,5.75,6.0,4.031128874149275,1,2,0.25,0.5,4,5.5,6.0,5.259911279353167,2,2,0.5,0.5,4,4,1.0
19367,2,10.0,10.0,0.0,2,0,1.0,0.0,2,9.5,9.5,0.7071067811865476,2,0,1.0,0.0,2,2,1.0
19396,9,8.777777777777779,10.0,2.1081851067789197,6,1,0.6666666666666666,0.1111111111111111,9,9.222222222222221,10.0,1.9860625479688312,8,1,0.8888888888888888,0.1111111111111111,9,8,0.8888888888888888
20315,11,9.363636363636363,10.0,0.9244162777371762,10,0,0.9090909090909091,0.0,11,9.0,10.0,1.3416407864998738,7,1,0.6363636363636364,0.09090909090909091,11,11,1.0
20392,42,8.428571428571429,8.0,1.5164602098123947,20,4,0.47619047619047616,0.09523809523809523,42,8.261904761904763,8.0,1.6088099496594102,19,5,0.4523809523809524,0.11904761904761904,42,40,0.9523809523809523
20578,10,7.0,7.5,3.018461712712472,3,3,0.3,0.3,10,9.3,10.0,0.9486832980505145,7,0,0.7,0.0,10,9,0.9
20854,17,9.058823529411764,9.0,1.0289915108550536,11,0,0.6470588235294118,0.0,17,9.235294117647058,10.0,1.0325582165612919,12,0,0.7058823529411765,0.0,17,16,0.9411764705882353
21427,11,8.454545454545455,8.0,1.213559752433836,5,0,0.45454545454545453,0.0,11,9.272727272727273,10.0,1.009049958219026,9,0,0.8181818181818182,0.0,11,11,1.0
21443,31,7.903225806451613,8.0,1.7579313355888393,12,7,0.3870967741935484,0.22580645161290322,31,8.225806451612904,9.0,1.8020299187186077,16,5,0.5161290322580645,0.16129032258064516,31,30,0.967741935483871
21578,6,8.666666666666666,9.0,1.6329931618554518,3,1,0.5,0.16666666666666666,6,9.5,10.0,0.8366600265340756,5,0,0.8333333333333334,0.0,6,6,1.0
21808,5,8.0,8.0,1.5811388300841898,2,1,0.4,0.2,5,8.0,8.0,1.5811388300841898,2,1,0.4,0.2,5,4,0.8
21822,9,8.333333333333334,10.0,2.958039891549808,6,1,0.6666666666666666,0.1111111111111111,9,9.222222222222221,10.0,1.9860625479688312,8,1,0.8888888888888888,0.1111111111111111,9,9,1.0
21869,10,8.5,10.0,3.100179206289712,7,1,0.7,0.1,10,9.4,10.0,1.2649110640673518,8,0,0.8,0.0,10,10,1.0
21876,8,9.375,10.0,1.0606601717798214,7,0,0.875,0.0,8,9.0,9.5,1.414213562373095,6,1,0.75,0.125,8,8,1.0
21879,14,8.0,8.0,1.9215378456610461,6,4,0.42857142857142855,0.2857142857142857,14,8.5,9.0,2.139374459257443,8,1,0.5714285714285714,0.07142857142857142,14,13,0.9285714285714286
21892,0,,,,0,0,nan,nan,0,,,,0,0,nan,nan,0,0,
27518,10,8.4,8.0,1.1737877907772678,4,1,0.4,0.1,10,8.1,8.5,2.514402955419481,5,2,0.5,0.2,10,10,1.0
29447,16,8.75,9.5,1.5275252316519465,9,1,0.5625,0.0625,16,8.8125,9.0,1.108677891304173,9,0,0.5625,0.0,16,15,0.9375
38246,19,7.368421052631579,8.0,2.4991226530700166,8,7,0.42105263157894735,0.3684210526315789,19,8.947368421052632,10.0,2.0942695414584778,16,1,0.8421052631578947,0.05263157894736842,19,19,1.0
38431,6,6.666666666666667,8.5,4.179314138308661,3,2,0.5,0.3333333333333333,6,7.666666666666667,7.5,2.2509257354845507,2,1,0.3333333333333333,0.16666666666666666,6,2,0.3333333333333333
38678,15,8.066666666666666,8.0,1.2798809468443693,5,1,0.3333333333333333,0.06666666666666667,15,8.8,9.0,1.2649110640673518,8,0,0.5333333333333333,0.0,15,15,1.0
39715,4,10.0,10.0,0.0,4,0,1.0,0.0,4,10.0,10.0,0.0,4,0,1.0,0.0,4,4,1.0
41069,6,7.333333333333333,8.5,3.204163957519444,3,2,0.5,0.3333333333333333,6,9.333333333333334,10.0,1.211060141638997,5,0,0.8333333333333334,0.0,6,5,0.8333333333333334
41490,15,7.266666666666667,7.0,2.789435853528878,7,5,0.4666666666666667,0.3333333333333333,15,9.133333333333333,10.0,1.5055453054181616,11,1,0.7333333333333333,0.06666666666666667,15,14,0.9333333333333333
43037,21,9.19047619047619,10.0,1.4703417160322847,17,2,0.8095238095238095,0.09523809523809523,21,9.476190476190476,10.0,1.327367606168224,18,2,0.8571428571428571,0.09523809523809523,21,21,1.0
43084,6,6.666666666666667,6.5,3.07679486912382,2,3,0.3333333333333333,0.5,6,9.333333333333334,9.5,0.8164965809277264,5,0,0.8333333333333334,0.0,6,6,1.0
44372,25,6.88,7.0,3.1533051443419384,10,9,0.4,0.36,25,9.48,10.0,1.5307950004273376,23,2,0.92,0.08,25,22,0.88
