CO_CURSO,VARIAVEL,RESPOSTA,n,pct_total
17154,QE_I01,A,7,0.3684210526315789
17154,QE_I01,B,1,0.05263157894736842
17154,QE_I01,C,1,0.05263157894736842
17154,QE_I01,,10,0.5263157894736842
17196,QE_I01,A,22,0.5641025641025641
17196,QE_I01,B,3,0.07692307692307693
17196,QE_I01,C,1,0.02564102564102564
17196,QE_I01,E,1,0.02564102564102564
17196,QE_I01,,12,0.3076923076923077
18354,QE_I01,,1,1.0
18382,QE_I01,A,9,1.0
18877,QE_I01,A,9,1.0
18892,QE_I01,A,11,0.6875
18892,QE_I01,B,4,0.25
18892,QE_I01,,1,0.0625
18954,QE_I01,A,5,0.8333333333333334
18954,QE_I01,B,1,0.16666666666666666
18959,QE_I01,A,5,0.8333333333333334
18959,QE_I01,B,1,0.16666666666666666
18961,QE_I01,A,12,0.5454545454545454
18961,QE_I01,B,4,0.18181818181818182
18961,QE_I01,C,1,0.045454545454545456
18961,QE_I01,D,1,0.045454545454545456
18961,QE_I01,E,1,0.045454545454545456
18961,QE_I01,,3,0.13636363636363635
19026,QE_I01,,1,1.0
19060,QE_I01,A,27,0.5510204081632653
19060,QE_I01,B,19,0.3877551020408163
19060,QE_I01,C,1,0.02040816326530612
19060,QE_I01,,2,0.04081632653061224
19077,QE_I01,A,11,0.5238095238095238
19077,QE_I01,B,2,0.09523809523809523
19077,QE_I01,,8,0.38095238095238093
19191,QE_I01,A,4,1.0
19367,QE_I01,A,2,1.0
19396,QE_I01,A,7,0.7777777777777778
19396,QE_I01,B,1,0.1111111111111111
19396,QE_I01,C,1,0.1111111111111111
20315,QE_I01,A,7,0.6363636363636364
20315,QE_I01,B,3,0.2727272727272727
20315,QE_I01,C,1,0.09090909090909091
20392,QE_I01,A,35,0.813953488372093
20392,QE_I01,B,6,0.13953488372093023
20392,QE_I01,C,1,0.023255813953488372
20392,QE_I01,,1,0.023255813953488372
20578,QE_I01,A,8,0.8
20578,QE_I01,B,1,0.1
20578,QE_I01,E,1,0.1
20854,QE_I01,A,13,0.7222222222222222
20854,QE_I01,B,3,0.16666666666666666
20854,QE_I01,E,1,0.05555555555555555
20854,QE_I01,,1,0.05555555555555555
21427,QE_I01,A,10,0.9090909090909091
21427,QE_I01,B,1,0.09090909090909091
21443,QE_I01,A,23,0.5348837209302325
21443,QE_I01,B,7,0.16279069767441862
21443,QE_I01,C,1,0.023255813953488372
21443,QE_I01,,12,0.27906976744186046
21578,QE_I01,A,5,0.8333333333333334
21578,QE_I01,B,1,0.16666666666666666
21808,QE_I01,A,5,1.0
21822,QE_I01,A,9,1.0
21869,QE_I01,A,8,0.8
21869,QE_I01,B,2,0.2
21876,QE_I01,A,7,0.7
21876,QE_I01,B,1,0.1
21876,QE_I01,,2,0.2
21879,QE_I01,A,12,0.8571428571428571
21879,QE_I01,B,2,0.14285714285714285
21892,QE_I01,,1,1.0
27518,QE_I01,A,8,0.6153846153846154
27518,QE_I01,B,2,0.15384615384615385
27518,QE_I01,,3,0.23076923076923078
29447,QE_I01,A,9,0.5625
29447,QE_I01,B,5,0.3125
29447,QE_I01,C,2,0.125
38246,QE_I01,A,14,0.6086956521739131
38246,QE_I01,B,4,0.17391304347826086
38246,QE_I01,E,1,0.043478260869565216
38246,QE_I01,,4,0.17391304347826086
38431,QE_I01,A,5,0.625
38431,QE_I01,C,1,0.125
38431,QE_I01,,2,0.25
38678,QE_I01,A,11,0.7333333333333333
38678,QE_I01,B,4,0.26666666666666666
39715,QE_I01,A,3,0.75
39715,QE_I01,B,1,0.25
41069,QE_I01,A,4,0.6666666666666666
41069,QE_I01,B,2,0.3333333333333333
41490,QE_I01,A,12,0.75
41490,QE_I01,B,2,0.125
41490,QE_I01,C,1,0.0625
41490,QE_I01,,1,0.0625
43037,QE_I01,A,16,0.6153846153846154
43037,QE_I01,B,5,0.19230769230769232
43037,QE_I01,,5,0.19230769230769232
43084,QE_I01,A,5,0.5555555555555556
43084,QE_I01,B,1,0.1111111111111111
43084,QE_I01,,3,0.3333333333333333
44372,QE_I01,A,22,0.6875
44372,QE_I01,B,3,0.09375
44372,QE_I01,,7,0.21875
45102,QE_I01,A,5,0.7142857142857143
45102,QE_I01,,2,0.2857142857142857
45701,QE_I01,A,5,0.7142857142857143
45701,QE_I01,B,2,0.2857142857142857
45703,QE_I01,A,4,0.5714285714285714
45703,QE_I01,B,3,0.42857142857142855
46729,QE_I01,A,10,0.7692307692307693
46729,QE_I01,E,1,0.07692307692307693
46729,QE_I01,,2,0.15384615384615385
47333,QE_I01,A,5,0.8333333333333334
47333,QE_I01,B,1,0.16666666666666666
48289,QE_I01,A,29,0.8529411764705882
48289,QE_I01,B,4,0.11764705882352941
48289,QE_I01,,1,0.029411764705882353
48946,QE_I01,A,10,0.9090909090909091
48946,QE_I01,B,1,0.09090909090909091
